ZIP5,CREATE_DATE
29483,2024-05-28 01:00:00
29485,2024-05-28 01:00:00
29501,2024-05-28 01:00:00
29526,2024-05-28 01:00:00
29588,2024-05-28 01:00:00
29607,2024-05-28 01:00:00
29621,2024-05-28 01:00:00
29651,2024-05-28 01:00:00
29681,2024-05-28 01:00:00
29720,2024-05-28 01:00:00
29730,2024-05-28 01:00:00
29732,2024-05-28 01:00:00
29803,2024-05-28 01:00:00
29910,2024-05-28 01:00:00
30004,2024-05-28 01:00:00
30016,2024-05-28 01:00:00
30040,2024-05-28 01:00:00
30041,2024-05-28 01:00:00
30043,2024-05-28 01:00:00
30044,2024-05-28 01:00:00
30052,2024-05-28 01:00:00
30058,2024-05-28 01:00:00
30096,2024-05-28 01:00:00
30127,2024-05-28 01:00:00
30135,2024-05-28 01:00:00
30228,2024-05-28 01:00:00
30253,2024-05-28 01:00:00
30281,2024-05-28 01:00:00
30331,2024-05-28 01:00:00
30349,2024-05-28 01:00:00
30906,2024-05-28 01:00:00
31088,2024-05-28 01:00:00
31907,2024-05-28 01:00:00
32068,2024-05-28 01:00:00
32092,2024-05-28 01:00:00
32137,2024-05-28 01:00:00
32162,2024-05-28 01:00:00
32164,2024-05-28 01:00:00
32174,2024-05-28 01:00:00
32210,2024-05-28 01:00:00
32218,2024-05-28 01:00:00
32225,2024-05-28 01:00:00
32244,2024-05-28 01:00:00
32246,2024-05-28 01:00:00
32259,2024-05-28 01:00:00
32303,2024-05-28 01:00:00
32526,2024-05-28 01:00:00
32608,2024-05-28 01:00:00
32703,2024-05-28 01:00:00
32725,2024-05-28 01:00:00
32738,2024-05-28 01:00:00
32765,2024-05-28 01:00:00
32771,2024-05-28 01:00:00
32808,2024-05-28 01:00:00
32822,2024-05-28 01:00:00
32824,2024-05-28 01:00:00
32825,2024-05-28 01:00:00
32828,2024-05-28 01:00:00
32837,2024-05-28 01:00:00
32839,2024-05-28 01:00:00
32940,2024-05-28 01:00:00
33015,2024-05-28 01:00:00
33023,2024-05-28 01:00:00
33024,2024-05-28 01:00:00
33032,2024-05-28 01:00:00
33033,2024-05-28 01:00:00
33063,2024-05-28 01:00:00
33065,2024-05-28 01:00:00
33147,2024-05-28 01:00:00
33157,2024-05-28 01:00:00
33178,2024-05-28 01:00:00
33186,2024-05-28 01:00:00
33311,2024-05-28 01:00:00
33313,2024-05-28 01:00:00
33321,2024-05-28 01:00:00
33411,2024-05-28 01:00:00
33414,2024-05-28 01:00:00
33437,2024-05-28 01:00:00
33467,2024-05-28 01:00:00
33511,2024-05-28 01:00:00
33578,2024-05-28 01:00:00
33579,2024-05-28 01:00:00
33647,2024-05-28 01:00:00
33810,2024-05-28 01:00:00
33837,2024-05-28 01:00:00
33914,2024-05-28 01:00:00
34135,2024-05-28 01:00:00
